plot_id,plot_type,total_captures,species_richness,shannon_diversity,count_dm,count_pp,count_do,count_pb,count_rm,count_ds,count_ot,count_pf,count_pe,count_nl,count_ol,count_pm
1,Spectab exclosure,1989,23,2.0108140779035284,607,220,488,112,23,234,102,31,13,54,51,15
2,Control,2191,28,2.3358370346420294,578,187,313,171,71,137,194,21,146,201,68,36
3,Long-term Krat Exclosure,1808,30,2.4807010871959108,107,373,83,337,208,18,154,129,66,97,63,40
4,Control,1960,20,1.6194502783736642,1075,115,62,97,19,277,76,136,1,6,57,4
5,Rodent Exclosure,1150,26,2.160811322718584,443,59,98,0,105,70,109,40,34,28,75,50
6,Short-term Krat Exclosure,1562,23,2.4216141765041668,222,203,224,245,81,107,150,110,69,17,46,27
7,Rodent Exclosure,729,21,1.9635900860445155,14,113,7,22,259,3,13,1,148,12,0,71
8,Control,1881,23,1.9669841598706532,569,217,488,104,13,212,97,56,11,8,55,7
9,Spectab exclosure,1929,24,1.7693623749739906,977,102,205,21,27,286,86,37,19,23,70,11
10,Rodent Exclosure,324,23,1.8891379874566832,9,2,3,1,166,4,8,0,7,2,14,54
11,Control,1912,29,1.9691212166536967,912,156,209,54,71,130,119,32,51,43,52,17
12,Control,2363,25,2.051545304990655,1020,201,272,36,94,120,185,24,50,166,77,13
13,Short-term Krat Exclosure,1531,26,2.496896526346398,361,126,50,229,70,113,143,98,62,39,91,32
14,Control,1880,23,1.5384890838428236,1215,78,61,4,36,90,83,33,22,62,98,17
15,Long-term Krat Exclosure,1024,26,2.463624158883468,68,201,1,84,117,5,83,142,68,48,19,53
16,Rodent Exclosure,549,22,2.29133152414263,82,39,31,30,166,5,38,4,43,4,11,58
17,Control,2037,21,2.064911875353392,869,111,261,67,82,121,169,66,39,106,43,22
18,Short-term Krat Exclosure,1439,26,2.3955945240073317,315,107,42,252,120,127,83,150,30,62,41,61
19,Long-term Krat Exclosure,1151,27,2.226979612646339,29,182,1,263,197,1,67,141,75,3,9,113
20,Short-term Krat Exclosure,1374,25,2.566261452493494,258,137,54,132,116,118,76,114,74,134,16,32
21,Long-term Krat Exclosure,1135,26,2.1390513725346145,41,123,0,363,202,2,73,166,5,18,17,33
22,Control,1387,23,1.8495253651801193,522,43,5,256,17,302,81,56,23,18,21,4
23,Rodent Exclosure,456,27,2.132484487135285,26,5,4,3,189,5,21,6,55,2,1,56
24,Rodent Exclosure,1025,21,2.2095327228886386,277,23,65,8,160,17,39,4,188,99,11,73
