plot_id,plot_type,total_captures,species_richness,shannon_diversity
1,Spectab exclosure,1989,23,2.0108140779035284
2,Control,2191,28,2.3358370346420294
3,Long-term Krat Exclosure,1808,30,2.4807010871959108
4,Control,1960,20,1.6194502783736642
5,Rodent Exclosure,1150,26,2.160811322718584
6,Short-term Krat Exclosure,1562,23,2.4216141765041668
7,Rodent Exclosure,729,21,1.9635900860445155
8,Control,1881,23,1.9669841598706532
9,Spectab exclosure,1929,24,1.7693623749739906
10,Rodent Exclosure,324,23,1.8891379874566832
11,Control,1912,29,1.9691212166536967
12,Control,2363,25,2.051545304990655
13,Short-term Krat Exclosure,1531,26,2.496896526346398
14,Control,1880,23,1.5384890838428236
15,Long-term Krat Exclosure,1024,26,2.463624158883468
16,Rodent Exclosure,549,22,2.29133152414263
17,Control,2037,21,2.064911875353392
18,Short-term Krat Exclosure,1439,26,2.3955945240073317
19,Long-term Krat Exclosure,1151,27,2.226979612646339
20,Short-term Krat Exclosure,1374,25,2.566261452493494
21,Long-term Krat Exclosure,1135,26,2.1390513725346145
22,Control,1387,23,1.8495253651801193
23,Rodent Exclosure,456,27,2.132484487135285
24,Rodent Exclosure,1025,21,2.2095327228886386
